Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
CONVEYOR_M_1;AI;1;3
MIXER_I_1;AI;1;4

DCEMENT_CLOSED_1;DI;2;1
DWATER_CLOSED_1;DI;2;2
CONVEYOR_ISON_1;DI;2;3
ELEVATOR_BELOW_1;DI;2;4
ELEVATOR_MIDDLE_1;DI;2;5
ELEVATOR_ABOVE_1;DI;2;6
AUGER_ISON_1;DI;2;7
WPUMP_ISON_1;DI;2;8

ADDITION_Q_1;CNT8;3;1
APUMP_ISON_1;DI;3;2
FILLER_CLOSED_1;DI;3;3
FILLER_CLOSED_2;DI;3;4
MIXER_CLOSED_1;DI;3;5
MIXER_OPENED_1;DI;3;6
MIXER_ISON_1;DI;3;7

DCEMENT_OPEN_1;DO;4;1
DWATER_OPEN_1;DO;4;2
FILLER_OPEN_1;DO;4;3
FILLER_OPEN_2;DO;4;4
MIXER_OPEN_1;DO;4;5
AERATOR_ON_1;DO;4;6
CONVEYOR_ON_1;DO;4;7
AUGER_ON_1;DO;4;8

WPUMP_ON_1;DO;5;1
APUMP_ON_1;DO;5;2
MIXER_ON_1;DO;5;3
DC_VIBRATOR_ON_1;DO;5;4
VIBRATOR_ON_1;DO;5;5
VIBRATOR_ON_2;DO;5;6
ELEVATOR_UP_1;DO;5;7
ELEVATOR_DOWN_1;DO;5;8
